date,krx_semi,btc_krw
2018-05-27,25583.0,8182000.0
2018-05-28,25522.0,7903000.0
2018-05-29,25508.0,8299000.0
2018-05-30,25541.0,8207000.0
2018-05-31,25537.0,8282000.0
2018-06-01,25346.0,8282000.0
2018-06-02,25346.0,8339000.0
2018-06-03,25346.0,8419000.0
2018-06-04,25138.0,8248000.0
2018-06-05,25583.0,8360000.0
2018-06-06,25583.0,8359000.0
2018-06-07,25822.0,8375000.0
2018-06-08,25411.0,8341000.0
2018-06-09,25411.0,8233000.0
2018-06-10,25411.0,7576000.0
2018-06-11,25407.0,7635000.0
2018-06-12,25430.0,7350000.0
2018-06-13,25430.0,7040000.0
2018-06-14,24908.0,7355000.0
2018-06-15,24656.0,7180000.0
2018-06-16,24656.0,7277000.0
2018-06-17,24656.0,7218000.0
2018-06-18,23696.0,7461000.0
2018-06-19,23387.0,7553000.0
2018-06-20,24106.0,7538000.0
2018-06-21,24025.0,7511000.0
2018-06-22,24132.0,6962000.0
2018-06-23,24132.0,7030000.0
2018-06-24,24132.0,6992000.0
2018-06-25,23795.0,7036000.0
2018-06-26,23686.0,6900000.0
2018-06-27,23506.0,6925000.0
2018-06-28,22949.0,6682000.0
2018-06-29,23178.0,6958000.0
2018-06-30,23178.0,7164000.0
2018-07-01,23178.0,7109000.0
2018-07-02,22369.0,7297000.0
2018-07-03,22842.0,7298000.0
2018-07-04,22855.0,7329000.0
2018-07-05,22983.0,7377000.0
2018-07-06,23288.0,7480000.0
2018-07-07,23288.0,7550000.0
2018-07-08,23288.0,7516000.0
2018-07-09,23582.0,7474000.0
2018-07-10,23744.0,7140000.0
2018-07-11,23621.0,7226000.0
2018-07-12,23815.0,7090000.0
2018-07-13,24271.0,7054000.0
2018-07-14,24271.0,7109000.0
2018-07-15,24271.0,7178000.0
2018-07-16,24229.0,7454000.0
2018-07-17,24244.0,8080000.0
2018-07-18,24329.0,8302000.0
2018-07-19,24329.0,8443000.0
2018-07-20,23877.0,8351000.0
2018-07-21,23877.0,8367000.0
2018-07-22,23877.0,8349000.0
2018-07-23,22598.0,8752000.0
2018-07-24,22944.0,9452000.0
2018-07-25,22441.0,9158000.0
2018-07-26,23107.0,8950000.0
2018-07-27,23929.0,9122000.0
2018-07-28,23929.0,9225000.0
2018-07-29,23929.0,9238000.0
2018-07-30,23863.0,9270000.0
2018-07-31,23911.0,8800000.0
2018-08-01,24044.0,8726000.0
2018-08-02,23625.0,8731000.0
2018-08-03,23672.0,8508000.0
2018-08-04,23672.0,8074000.0
2018-08-05,23672.0,8077000.0
2018-08-06,23134.0,7982000.0
2018-08-07,23321.0,7760000.0
2018-08-08,23293.0,7308000.0
2018-08-09,23073.0,7543000.0
2018-08-10,22557.0,7230000.0
2018-08-11,22557.0,7325000.0
2018-08-12,22557.0,7395000.0
2018-08-13,21890.0,7387000.0
2018-08-14,21947.0,7233000.0
2018-08-15,21947.0,7332000.0
2018-08-16,21870.0,7337000.0
2018-08-17,21696.0,7496000.0
2018-08-18,21696.0,7391000.0
2018-08-19,21696.0,7431000.0
2018-08-20,21504.0,7255000.0
2018-08-21,22199.0,7375000.0
2018-08-22,22114.0,7289000.0
2018-08-23,22099.0,7439000.0
2018-08-24,22182.0,7561000.0
2018-08-25,22182.0,7604000.0
2018-08-26,22182.0,7547000.0
2018-08-27,22513.0,7688000.0
2018-08-28,22460.0,7839000.0
2018-08-29,22760.0,7825000.0
2018-08-30,22760.0,7856000.0
2018-08-31,22996.0,7865000.0
2018-09-01,22996.0,8001000.0
2018-09-02,22996.0,8113000.0
2018-09-03,22944.0,8125000.0
2018-09-04,22978.0,8271000.0
2018-09-05,22837.0,7699000.0
2018-09-06,22602.0,7523000.0
2018-09-07,22013.0,7382000.0
2018-09-08,22013.0,7206000.0
2018-09-09,22013.0,7232000.0
2018-09-10,22080.0,7274000.0
2018-09-11,22085.0,7239000.0
2018-09-12,21895.0,7234000.0
2018-09-13,21705.0,7355000.0
2018-09-14,21985.0,7359000.0
2018-09-15,21985.0,7363000.0
2018-09-16,21985.0,7356000.0
2018-09-17,21700.0,7191000.0
2018-09-18,21723.0,7234000.0
2018-09-19,21677.0,7245000.0
2018-09-20,21585.0,7311000.0
2018-09-21,21391.0,7537000.0
2018-09-22,21391.0,7540000.0
2018-09-23,21391.0,7500000.0
2018-09-24,21391.0,7430000.0
2018-09-25,21391.0,7299000.0
2018-09-26,21391.0,7300000.0
2018-09-27,21258.0,7447000.0
2018-09-28,21064.0,7408000.0
2018-09-29,21064.0,7360000.0
2018-09-30,21064.0,7393000.0
